Interview Date,Member,Interview Duration,Interview Notes,Do you have any vendor partnerships specifically for AI training or tools?,"What AI-related training, services are you currently providing to clients?",What AI tools or platforms do you use internally,What AI tools or platforms are you selling for clients to use?,What are clients asking for most when it comes to AI training?,What do you think are the biggest challenges you and your clients face when adopting AI?,What are the most common obstacles you're hitting when trying to actually implement AI tools in your daily work?,"Can you tell me about a recent AI project that went really well?/Are there particular AI projects or initiatives currently developed or published by your organization? If so, please explain.",Any particular AI projects you want to prioritize for your organization or clients?,How do you typically make decisions about taking on new AI initiatives or partnerships?,What success metrics matter most to you for AI projects?,Do you have capacity to take on more AI projects?,Are there any AI specializations or industries where you feel like you could be stronger?,Are there any government initiatives or regulations in your country that affect AI adoption?,Are there any cultural concerns/priorities regarding AI adoption?,"If the right opportunity came up, would you be interested in collaborating with other LLPA members on AI projects?",What does AI adoption look like in your country right now?,Do you work with any local universities or tech companies on AI initiatives?,Follow-up Actions,Interview,Interview Metadata
"July 1, 2025",CTU Training Solutions,32,"'- Mentions Cert Nexus for AI soft skills courses (though expensive).
- Works with vendors for school leavers department to integrate Microsoft certifications into national qualifications.
- Primarily educational rather than implementation-focused.
- Wants to coordinate with LLPA on Microsoft AINSI projects

Please specify the audience that you as training partner is best equipped to serve or have a larger focus on?
educators/trainers, government workers","Microsoft for Copilot,CertNexus","Copilot webinars for B2B corporate clients,Educator training on Copilot (176 teachers booked for July 2025),Corporate breakfasts presenting Copilot (151 attendees from 82 companies),Data/Power BI training modules,AI soft skills training through Cert Nexus",Only 10-12 Copilot licenses (executive team + marketing team). Staff use ChatGPT by choice.,"""Only training, not tools. Facilitators choose their own AI tools. One marketing team member exploring Copilot Studio for website chatbot.""","ChatGPT training (still very popular),AI soft skills through Cert Nexus,Much more inquiries compared to last year","Cost: Copilot licenses very expensive (7000 rand/$400 per year),Familiarity: People still unfamiliar with AI tools,Low conversion: People attend free webinars but don't purchase paid training","Limited licenses (only 10-12 Copilot licenses for whole organization),Budget constraints,Staff using free tools (ChatGPT) instead of paid ones,""End users being """"scared"""" of AI""",Educator Copilot training program - went from no interest last year to 176 bookings for July 2025. Also successful corporate breakfast series and bank partnership following Microsoft AFS event.,"Microsoft AINSI educator training project (but facing budget/scope challenges with local director wanting only 1-hour webinars instead of full training),Website chatbot development (early stages),Expanding Copilot training offerings","Must go through director approval. Budget is major limiting factor. Recent example: director rejected full-day training proposal, only approved 1-hour webinars due to funding constraints (5 rand per person).","Number of attendees/bookings,Conversion from free webinars to paid training,""Student completion numbers (521 students completed MS 4005, 296 staff completed 4004)""","""Yes, interested in collaboration. Currently have limited internal capacity (one person working on chatbot part-time). Open to partnerships and co-creation opportunities.""",Looking to strengthen Microsoft ecosystem training delivery and potentially expand beyond just training to include more implementation support.,Yes - South African government requesting educator Copilot training and opening educator licenses. Government pushing teachers to use Copilot over ChatGPT. No regulatory barriers mentioned.,"Not cultural per se, but educational gaps - educators ""way behind"" and ""not too familiar with AI."" More familiar with ChatGPT than Microsoft tools. Initial wariness about Copilot training(pricing).",Interested,"Growing but slow. Much more marketing and interest compared to last year. People becoming more comfortable, realizing ""it's not going to take their jobs, but it's going to make it easier."" Cost remains major barrier.",Works with schools for educator training outreach. Mentions working with major South African bank (Absa) for corporate training. No specific tech company partnerships mentioned.,"Get pricing details for all training offerings
Connect with marketing department for additional insights
Reach out to IT faculty head
Coordinate on Microsoft AINSI projects to avoid duplication
Explore chatbot collaboration opportunities
Monitor progress on bank partnership and webinar outcomes",HANRI LABUSCHAGNE and Sofía Mendez (1).docx (https://v5.airtableusercontent.com/v3/u/49/49/1768629600000/48_mmSvWDbz1OGMN-y6cEg/Z16lsqhWxmGkNdcjyThKHCIyFSbIixOJ4eOXXeK3622apMv3DI3hhokMuxhtDWZBQ_MxtLPvkBF2aMEL16TRaiPMzevA7zXzPh31f7jLz5MW3iZM7LNpS5mqBcEEQ4qJPVIz-_rx4ScYeALWj8l1qBSrKIZ4RnrvF288yX_TQpZqHd09wIyZUQQzXHfiaJfS/Z1UxcbrqHJP1SPtOMHRHFnYVA8vvMIi7Rmd0j6RLjwg),
"July 2, 2025",Kompas Xnet,36,"'- Training focuses on ChatGPT (custom-designed course) and Microsoft Copilot courses.
- Customers reluctant to pay for training; prefer free online content.
- Very limited internal Copilot licenses; Dynamics used internally with Copilot.
- Low demand for Copilot training as few licenses purchased by customers.
- Desire for Microsoft point of contact in Slovenia to better engage ministries and enterprises.
- Interested in pilot projects modeled after other LLPA countries.",Microsoft (Copilot courses),"Closed group ChatGPT training (prompting),""Microsoft Copilot courses (MS-40115, Excel, PowerPoint, Outlook with Copilot)"",Free awareness webinars","Microsoft Copilot (limited licenses),ChatGPT,Microsoft Dynamics with Copilot",Training only; no tools sold; customers expected to use their own licenses,Mostly ChatGPT awareness and very occasional Copilot inquiries,"Customers unwilling to pay for training,""Preference for free, self-taught content"",Low Copilot license penetration,Skepticism about benefits","Lack of customer licenses for Copilot,Budget and resource constraints,Low interest","Development and delivery of internal ChatGPT course (custom, Slovenian-language)
",No; just improved engagement with Microsoft,Based on customer demand and feasibility; no formal process stated,No specific metrics stated; implied focus on customer engagement and adoption,"""Yes, if supported properly (e.g., by Microsoft or LLPA)""","Better public sector engagement, stronger Copilot adoption support
","No specific ones beyond GDPR; Ministry of Education interested in Copilot
","Slow adoption culture; skepticism toward new technologies; preference for in-person engagement
",Interested,"Slow and lagging behind neighbors countries; ~30% digital AI adoption rate in comparison
",Not explicitly mentioned; some Ministry of Public Sector work,"- Share internal ChatGPT and AI training materials with Sofia
- Explore support from Microsoft via LLPA
- Discuss pilot project possibilities with ministries
- Investigate best practices from other LLPA members",Kompas Xnet Sync.docx (https://v5.airtableusercontent.com/v3/u/49/49/1768629600000/M_FaqLj48M8V8vOeCOGXIg/zoPCGw85i3lYaKKAU3VJzX0BU0tsuDJkx8kTzsMpl_KoeAAJw1r-025V1c4Akh2CkdbSsOGBAo8BD1mh4GnhX1pxeygklnh1lxeGUsfV-YBrCgr5GLJhLdEB6eHH8n6kGYTqG8zuTrrQSWj8UAhvWirGdpbnNrbxpyE7-aZ96o4/lCRZurbN0NggS_naV-wHwn4G6uMDVghXe1x7mFn42Ik),
"July 2, 2025",Lumify Work,38,"'- Delivers Microsoft, AWS, EC-Council (ethical hacking with AI), AI Certs, and self-authored Copilot/ChatGPT training.
- Large demand for end-user training but clients still unclear on ROI of AI.
- Successfully reduced content creation time through AI tools.
- Would value more best-practice sharing from LLPA.
- Interested in keeping up with fast-moving AI landscape and future-proofing offerings.","Microsoft,AWS,EC-Council","Microsoft Copilot end-user training (“Copilot Flight School”), AI Certs,Self-authored ChatGPT and Copilot content","ChatGPT and custom Microsoft agents,Automation project for scheduling (in development),Undefinded self-made marketing tool",Training only; no direct AI tools,"""Awareness-level and end-user training (e.g., Copilot for Excel); many still in research phase""","Clients unclear on what they want to achieve with AI,Uncertainty about ROI and implementation,Early stage in hype cycle","Prioritizing and resourcing projects, Identifying best tools in a fast-moving landscape","- “Copilot Flight School”: free event with 2000 sign-ups and strong engagement
- Content creation project: reduced time-to-delivery by ~40%","Marketing automation,Scheduling automation,Staying aligned with AI safety/governance trends","- Leadership workshop per business area to identify opportunities
- Prioritize based on ROI and feasibility","Reduced time-to-market for training content,""Engagement rates (e.g., Copilot Flight School attendance)""","""Yes, if they align with priorities and resourcing""","AI governance and cutting-edge AI preparedness
","Australian National AI Centre oversees responsible AI guidelines
","Clients view Copilot as “just a feature” rather than transformative; slower adoption
","Yes, particularly for best-practice sharing","- High interest in Copilot/Office 365 AI features
- Few building custom AI solutions yet","Not specified, but in discussions with Australian National AI Centre
","- Share McKinsey AI adoption report with Gary
- Explore BlueDot Impact and other cutting-edge AI safety/governance vendors
- Consider establishing LLPA-led best-practice knowledge sharing",Gary Duffield and Sofía Mendez.docx (https://v5.airtableusercontent.com/v3/u/49/49/1768629600000/uCdCR1w-c3LCBO6Vjj9Oag/a79KNxEwvN0kqQx0l8v_feW0gyaumHRRQ9QK8Vr-XrdYHEPaS3kvdEZbbpwHhYApbpFxoGZ1Wso-_RiXpGM8DC5_eSpK2lBYkit2ZwRuqkmfErxWNTFkbzjeJ0Pkcq1mdki7PyBV4z1X4cwkoKFXtgmnIygfsA8gLN1Spg_2BnrjSa3Mgp2CjYvlr-zX3jyc/7lMrsZGCYGUvq8z04sbnnlyANEpDeHD5C5ADX--CCIk),
"July 3, 2025",GREEN Tecnologia,35,"'- Green delivers AI training via 6–7 courses as part of a tailored digital transformation journey.
- Strong focus on company-wide, holistic, customized AI training (rather than open enrollment or off-the-shelf courses).
- Piloting an AI agent using Teams transcripts for student Q&A.
- Working with Microsoft, TD Synnex, and large implementation partners to scale training.
- Sees opportunity in Copilot Studio, agents, and AI journey use cases by function/industry.","Microsoft,AWS","Customized digital transformation journeys,AI Fundamentals,Data & AI combined awareness courses,Copilot/ChatGPT demos and use cases","Copilot (licenses for instructors),Pilot: GenAI agent on SharePoint using Teams transcripts",Not selling tools; providing training and consulting on using AI securely and effectively,"Holistic AI journey,Copilot Studio and agents content","Companies lack structured AI policies and secure usage guidelines,Employees already use AI informally without training or governance"," Licensing/cost barriers for pilots,Privacy and security concerns about transcript-based agent","- Tailored digital transformation journeys with pharma client
- Piloting AI transcript Q&A agent","Expand Copilot Studio and agents content,Build industry/function-specific use case pools","- Based on value to holistic transformation projects and client demand
",Client adoption and satisfaction with tailored journeys,"""Yes, especially if supported with reusable materials (e.g., case studies, journeys)""","Developing more specific use cases per industry/function
","- Some initiatives in education and technical skilling, but no major national policies yet
- Opportunity in São Paulo education system as AI enters curricula","'- High general awareness (via social media), but businesses lack structured approaches
",Yes; open to sharing pilot (Teams transcript agent) and use cases,"- Employees use AI tools informally
- Businesses are starting to recognize need for secure, structured approaches","Yes — partnerships with government technical skilling institutions and potential in state education system
","- Luiz to share AI course details and pilot agent concept with Sofia
- LLPA to consider creating quarterly updated journeys, reusable use case pools by industry/function, and best-practice guidance",Luiz Enrique Leorte Bidart and Sofía Mendez.docx (https://v5.airtableusercontent.com/v3/u/49/49/1768629600000/j4cSBxeSs9fa_6RTZNgxxg/DY17TZgsrLBowLIPCfVJXAMIzfVyPlhkROi3tRUt6GjvnnXhzIX9RwKuWrwAWnLTXtBFXkX2zD3JF5UIqjOmWURDUr1lqjj_Da9tevjlqhUqAMGfrOYhm31sSGeMUNAqRDC4L4VFJaqubJMHOhVpEWxjYfT1duskgDpFms7QYoYrKVQWGjJ9Tv8d1nSwmEwQ0NZTwtX_Agcgkcozl4Zk8g/xXD0UfqvSU5LY1c3AVe_46_kT_I0dALEqwWuJXieTLw),
"July 3, 2025",Trainocate,34,"- AI services include vendor-based training, custom pre-sales enablement, and consulting on secure deployment.
- Developing internal LMS with AI mentor concept.
- Using Copilot, ChatGPT, and other AI tools internally for content, assessments, and translation.","Microsoft,AWS,Alibaba Cloud,Google","Vendor curriculum-based training,Custom pre-sales enablement sessions,Consulting on secure and effective AI adoption","Copilot,ChatGPT,Other generative AI for content/assessment development","""Not directly selling tools; providing training, enablement, and secure deployment guidance""","""ndustry-specific, advanced use cases beyond basics"", Productivity automation scenarios,Staying current with new features and updates","Low internal adoption despite licenses,Lack of use cases and engagement to make it routine","Diverse language needs across countries,Lack of vendor responsiveness in LMS platforms","Internal content and assessment creation streamlined using AI tools
","AI mentor within LMS,Dynamics 365 AI for finance and CRM workflows",Decisions prioritized by functional team needs and business value; different teams own separate priorities,"""Improved adoption, productivity gains, and internal system integration""","""Yes, as aligned with team focus and resourcing""","Integration of AI into internal systems and LMS; language translation
","No major frameworks yet; some data privacy compliance review ongoing
","AI adoption still mostly generative AI–focused; deeper capabilities not yet widely explored
","Yes, open to collaboration, but prefers projects not overly vendor-centric","Growing interest in generative AI; limited strategic frameworks or policies
","Not currently
","- Sofia to share any relevant LMS resources or member collaborations that could help
- Explore AI mentor implementation and internal system AI integration opportunities
",Khor Hee Soo and Sofía Mendez.docx (https://v5.airtableusercontent.com/v3/u/49/49/1768629600000/YYzg8cRyCD-DzYWa0hp4oA/jGvQ-VESsMgw_04EtLjvXURO6UUzbqtimGMLXzD-9_FA6dsOp_FwaLfEvkPo3U7JaBzzP3LsFQNaTljcHetmZ0BHQf0kZYwrc7mYcpbu-4ls6P2V_n1ZoXpcXNBPvKsIdZ7DlS7sNAwxp60i3fBeBz7AZXXsZ6H4qDQVukNoMD02kjKwlx99AVbZvGoxXzNl/_hEcHUKfjHBbafTzJFKdnU5mC_HK-0EhHVoCwpwWRJU),
"July 7, 2025",Algebra,40,"'- Co-founder and co-owner of Algebra (training + university).
- Offering AI training through CertNexus, custom workshops, and new micro-qualifications.
- Participated in Microsoft AI Festival; saw increased but still modest uptake.
- Developing accredited micro-qualifications on AI topics funded via government vouchers.
- Piloting chatbot mentor in LMS, already deployed on student portal.
- Research projects on AI for logistics and vocational education (EU-funded).","CertNexus,Microsoft","""CertNexus courses (AI Business Strategy, GenAI BS)"",""Custom workshops (generative text, photo, video, chatbots)"",""Micro-qualifications: AI in business decision-making, Copilot in Office, Generative AI for business""","ChatGPT,Copilot,Perplexity, Adobe tools with AI features for Graphic Design",Not directly selling tools; training and subscriptions provided as part of workshops,"""They don't know but they're trying: More hands-on, business-use focused training - Copilot in Office - Generative AI use in text, video, images, chatbots"""," Lack of awareness of AI’s business potential,Cost of tools like Copilot,Undefined demand","Limited internal structure for AI usage tracking,Unclear user demand shaping offerings","'- High engagement in Microsoft AI Festival webinars (~2,500 attendees)
- Algebra has already deployed an AI-powered chatbot on its student portal for about a year, helping students with administrative and academic questions such as class schedules, exam locations, available micro-qualifications, and enrollment details. The chatbot, built in-house using an unnamed component, is widely used and appreciated by students. In parallel, Algebra is piloting a similar chatbot within its Learning Management System (LMS) to act as a mentor bot, answering questions about course content and supporting students during self-study. This initiative involves migrating course materials from PDFs into a structured, web-friendly format that the chatbot can access and reference. The LMS chatbot is designed to be context-aware and limited to the materials relevant to each student’s courses. While teachers are also exploring how to adapt exams and assessments to allow ethical AI usage, the chatbot itself is not currently used for exams or grading. The technical approach appears to use a retrieval-augmented generation (RAG) pattern, where queries are matched against institutional documents before generating an AI-assisted response. This initiative demonstrates Algebra’s effort to integrate AI thoughtfully into the student experience, both administratively and academically, while maintaining academic integrity and enhancing learning outcomes.
","""New micro-qualifications (Copilot in Office, Generative AI for business, chatbots)"",Embedding chatbot mentor into LMS","Driven by observed trends, internal expertise, and government funding opportunities
","""Student enrollment, engagement, and voucher-funded uptake of micro-qualifications""",Yes,"Broader business-focused use cases and better structured internal adoption
","Voucher program funding micro-qualifications for individuals
","General low awareness of how AI can impact work processes
",Interested,"Growing interest but slow uptake; modest use of Copilot and generative AI tools
","Yes — through EU-funded research projects (e.g., AI for VET, logistics optimization)
","- Tomislav to share details of chatbot tool used in LMS pilot
- LLPA to consider supporting with further micro-qualification development and best practices sharing",Tomislav Dominkovic and Sofía Mendez.docx (https://v5.airtableusercontent.com/v3/u/49/49/1768629600000/YDzfesGlP9mdICl8Mi8U3w/N9UFOwE-v0wrvvTKKN3G46BbyfD23HQN0ydDKMGBzrD7UQsiPHqfB0Q0GS61sHxqi2cjUQLvV5dWfKH0bFz5PEQNQLJGnuCdpcQxxBQgmIYgwnKIDBZ9x6Ygi3VeNuCLTIntwvjNS54-eXHLW23zZT0UZWhMasJzi5ykL7ZJmbA98tijKS48F6h5xCGx7nEN/aPvjPfT_5hQ-eOurFkHPwaAh4kQdSDqJ-wbs9zJx21A),
"July 24, 2025",CloudTeam,58,"'- Co-founder and co-owner of Algebra (training + university).
- Offering AI training through CertNexus, custom workshops, and new micro-qualifications.
- Participated in Microsoft AI Festival; saw increased but still modest uptake.
- Developing accredited micro-qualifications on AI topics funded via government vouchers.
- Piloting chatbot mentor in LMS, already deployed on student portal.
- Research projects on AI for logistics and vocational education (EU-funded).","Microsoft,Google,ThinkSmart,AI Professional Institute","'- AI Heroes program (w/ Microsoft) - AI Executive Masterclasses - Custom executive training in Saudi Arabia - AI Professional Institute courses (Foundations,Custom executive training in Saudi Arabia,"" AI Professional Institute courses (Foundations, Applied AI, certifications)"",certifications) - Consulting services for digital transformation and AI implementation","ChatGPT,GitHub Copilot,Cloud Code,Loom,Arudis,Credentium","AI Professional Institute courses & certifications,Custom white-label platforms for learning and certification, Arudis (AI tutor and microlearning platform),Credentium (EU-standard credential platform)",,, Decline in demand for traditional training,"- AI Heroes Program: Trained 32,000+ learners in 2 months, funded by Microsoft
- Built platform to support webinar learning with AI flashcards, quizzes, tutor",- Expansion of AI Professional Institute offerings - Deployment of Arudis platform across more universities - Expand credentialing with Credentium - Explore LLPA-branded platforms,"Based on market demand, visibility potential, and strategic partner alignment",,"Yes – open to partnerships,esp. via LLPA",Cited interest in security – considering AI Safety experts for Advisory Board,"- Poland follows EU AI Act – viewed as rational
- No major blockers
- Signed agreement to include “AI Fundamentals” on Polish government’s training portal","- None blocking adoption
- Poland is very digital and open to technology adoption",Interested,"- Increasing fast, especially in universities
- Traditional training collapsing
- Shift toward consulting and platforms","Yes – dozens of Polish universities onboard with CloudTeam and Arudis
Also working with Polish government and Thinksmart (Middle East)","- Send AI Heroes offer PDF to Sofia
- Share Arudis and Credentium platform demos
- Explore LLPA-wide usage of CloudTeam platforms
- Consider adding AI safety expert to advisory board",Michał Karski _ CloudTeam  and Sofía Mendez.docx (https://v5.airtableusercontent.com/v3/u/49/49/1768629600000/XBR7VKAMEQ9yN1LMLcqOaA/ouIDMy09C61tjwT485PfF5k7Ui37Nf_0XcB6K86LhJMcrAzVxx_DPNNSYkO9rBGJUsWwtonuQ50Uuz8Vo0oziVSIGF4PDREmhFUyD-wZitj7P40pNL2C8Zmfenw53kzyUjwd1Fa2R6IgBnONlk3S-3pKfYoCM51yTMoaVk_pAXs1ECp-2nM0neEp0QzZls0s/l0-udqNixPJB_S-9W7sCHec7YCVYep7zoGlEiH8PGsM),
"July 30, 2025",Glasspaper,27,"- Glasspaper operates in training, recruitment, staffing, consulting, and e-learning.
- Core business around €20M.
- Training includes end-user, developer, process, and IT pro training.
- Glasspaper is co-owner of e-learning platform Extra Mile.
- Actively delivering Microsoft AI Academy training to public sector.
- Facing competition from consulting firms and free training by vendors.
- Interested in scaling based on sales success.
- Looking to optimize use of AI tools like Copilot internally.","No specific AI-focused vendor partnerships.,""Training mainly includes standardized vendor offerings like Microsoft, AWS, Google, and internally developed content.""","Microsoft AI Academy training.,""End-user training including """"Getting started with ChatGPT"""", AI for HR roles."",Custom and freelance-developed training for developers and IT pros.,Framework certifications like ISO Lead Auditor/Implementer with AI topics.","Copilot licenses in pilot use.,AI features in HubSpot and internal marketing tools.,AI functionality integrated into their e-learning platform (likely using OpenAI).",Not selling AI tools; use AI within internal systems and training,""" High interest in Copilot training, particularly among public sector and enterprise clients."",Previous interest in ChatGPT still present.","High license costs for tools like Copilot.,Strong competition from traditional consulting companies and free vendor resources.","Balancing cost-benefit of AI tools like Copilot.,Determining scalable use cases internally.,Deciding on resource allocation depending on training uptake."," Running AI Academy for Microsoft, especially for the public sector.","Expanding AI training if pilot clients move forward.,Exploring chatbot development for marketing (considering shared solutions among LLPA members).","- Based on potential for improved efficiency and increased sales.
- Dependent on resource needs and sales pipeline success.","Sales generated.,Organizational efficiency improvements.","""Currently yes, but may face resource constraints if pilots expand."",Hesitant to scale without confirmed demand.","- Not particularly, but sees opportunity in end-user training.
- Notes room to use AI in training delivery.","- No major issues; Norway is aligned with broader European standards.
","- Security concerns in public sector and large enterprises.
- General openness to AI due to success stories like Telenor.","- Yes, especially for shared tools like AI-enhanced marketing or chatbots.","- Strong momentum in public sector and enterprises.
- General population more interested in ChatGPT and similar tools.","- Not directly on AI initiatives.
- Delivers training to tech companies for their customers.","- Explore collaboration on shared AI chatbot solutions.
- Consider expanding training based on upcoming Q3/Q4 sales outcomes.
- Possibly share details of AI-enhanced e-learning platform features.",AI Assessment meeting (2).docx (https://v5.airtableusercontent.com/v3/u/49/49/1768629600000/61A_Kqyf11VXA1kGTxm2Ng/blNC5j5fAYsT_oo8JkWg0FwxLUlwf4Pp4rDrhAtfxnoLWe7plEkhap2yH44VuYn4BdA0ubs-G4VX7D9EUKoAoFGOt0OSJUJ5x3kgGvLZhh-Z3ofcXKYvAGB0l7i5Q0vHGe00gO7U9PZ5z79JU2KfrgIBpxzmBfXUjDeB4kfmuvU/l1iVE4HODyek91pd2YjfEAhjIY6C9_Ypugic_zxiOkE),
"August 21, 2025",TÜV Rheinland,43,"• TÜV Rheinland: 25k employees, tech, certification, consulting & training. • AI in IT business line, 3-stage training model. • Clients: awareness, compliance, practical skills. • Internal initiative: 25k staff trained, St. Gallen award","No AI-training-specific vendors; partnerships with Microsoft,AWS & European experts","3-stage AI training (starter/explorer/practitioner) + consulting (org design,infrastructure) + certifications (ISO 42001/27001,AI system)","Own OpenAI instance (closed shop,level 40) + Rise,Articulate; strict TÜV security","None; TÜV does not resell AI tools,only trains/consults/certifies","Awareness,compliance (AI Act/GDPR),practical “how to” questions","Human capital fears,technical know-how,data/infrastructure",None internally,"Internal AI upskilling (25k staff, e-learning, trainings, conferences); St. Gallen recognition",,,,,"No; broad coverage across medical, aerospace, mobility, etc.","GDPR, NIS2, Cyber Resilience Act, ISO/IEC 27001 & 42001",Concerns dropped over 2 yrs; regulation focus supports TÜV’s training/certification,,High awareness: “Everybody knows ChatGPT”; SMEs lag (70% not implemented; poor internet). Daily AI use common,Project-based with universities; external European experts,• Resend LLPA AI form • Share TÜV AI landing pages • Add TÜV courses into LLPA AI channel,,
"August 19, 2025",Rumos,26,"• Rumos Group: Includes Rumos, Galileo, Flag, Academies • AI training: vendor courses, Copilot adoption, AI exec programs, bootcamps, product mgmt/marketing. • Internal AI awareness program for ~100 staff (pre/post assessment, 5 sessions). • Clients include Siemens (ML/GenAI with AWS), law firms (Copilot adoption workshops).","Partnerships with AI Search,Nexus,AWS,Microsoft,Red Hat. Siemens project in Lisbon (AWS ML/GenAI training).","• Training-only focus (no consulting) • 93+ AI-related courses across Rumos,Galileo,Flag • Exec AI programs,bootcamps,Copilot adoption workshops • Internal AI awareness programs (staff training model),""Besides the official vendor offering, we offer several tailored contents, from Copilot Workshops, ChatGPT bootcamps, to AI programs with pre and post-training assessments, or an Executive Master on AI.""",We use Copilot and ChatGPT in some of our teams. We also have on our approved plan and budget for this FY (Sept25-Aug26),"Not direct resale – but deliver vendor-based trainings (Microsoft,AWS,Copilot,AI Search certifications).","• Awareness & literacy • Adoption workshops (esp. Copilot) • Executive AI programs,""Most training requests are on AI awareness and essentials, and on Copilot and ChatGP prompting. In most cases, customers want tailored content, according to the job role, and the industry, with specific examples and use cases.  ""","• Fear & lack of trust in AI • ROI/cost concerns • SMBs lagging vs. large enterprises,""Budget is a challenge, and most customers are mainly using pilots before going for a wider adoption.  Other challenges are the unknown, and we've seen situations where ChatGPT or Copilot chat are blocked, and the lack of training. "",""We already did adoption workshops, some time after licenses were purchased, because usage was dropping, which could result in not renewing licensing. In our country, market size is also a difficulty as most our companies are micro or small.""","• Some companies (e.g.,insurers) block ChatGPT/Copilot due to risk/cost concerns","• Internal AI awareness program (100 staff, 5 sessions, 90–95% positive eval). • Law firm project: Copilot adoption workshop after license purchase
We have developed an internal AI training program for all our employees (100+). This is a phased program, and we just finished phase 1, with pre and post-training assessments which measure confidence and knowledge. Phase 1 consisted of a basic 10 hours awareness, ethics and essential training. Following phases will go more into practice and tailored for each team, with an optional certification. We are using this model to approach customers.",,,,,Not for the moment.,We are under the EU AI Act.,"Already answered in #9. We don't see specific or relevant cultural barriers which could stop or block AI adoption. Main challenges are company size and business profile, and budget or financial.",Interested,"• Large firms (banks, energy) advanced, but SMEs & micro-businesses lag • Vendors (Microsoft, AWS) shifting focus toward SMBs","No standing partnerships; works with vendors (Microsoft, AWS) & sometimes project-based.
We have worked together with Microsoft in Bootcamps for Educators, but the academic world is usually a challenge and relies more on vendors, which have a direct contact and initiatives, and run separately from our professional training ecosystem. We have some direct initiatives with some Tech companies, but also isolated.  ",• Coordinate with LLPA AI Channel project • Use shared AI content across members for smaller markets,,
