Course,Path,Role,Member Organizations,Link,Vendor,Technology,Level,Delivery methodology,Language,Type,Industry,Audience
MS-4023: Explore Microsoft 365 Copilot Chat,Techies: Copilot for Users & Productivity,Tech Experts,ITG,,Microsoft,"Copilot Chat,Microsoft 365",Beginner,Live virtual,Spanish,Short Course,All,Business User
AI-3018: Copilot Foundations,Techies: Copilot for Users & Productivity,Tech Experts,ITG,,Microsoft,Copilot,Beginner,Live virtual,Spanish,Short Course,All,Business User
MS-4007: Copilot for Microsoft 365 User Enablement Specialist,"Techies: Copilot for Users & Productivity,""SMEs: AI-Powered Productivity, Operations, & Workflows""","Tech Experts,SMEs",ITG,,Microsoft,"Copilot,Microsoft 365",Intermediate,Live virtual,Spanish,Certification,All,Manager
GA-GE-PRO: Mastering Gemini Pro and the Google AI Ecosystem,Techies: Google AI & Cloud (Gemini + Vertex),Tech Experts,ITG,,Google,Google Gemini,Beginner,Instructor-led (ILT/VILT/Web),Spanish,Short Course,Cross-industry,IT Professional
AI-3003: Develop natural language solutions in Azure,Techies: Azure AI Engineering ,Tech Experts,ITG,,Microsoft,Azure NLP,Intermediate,Instructor-led (ILT/VILT/Web),Spanish,Short Course,All,Professionals & Business Users
AI-3017: Microsoft AI for Business Leaders,Techies: Azure AI Engineering ,Tech Experts,ITG,,Microsoft,Azure AI Fundamentals,Beginner,Instructor-led (ILT/VILT/Web),Spanish,Short Course,All,Professionals & Business Users
AI-102: Develop AI solutions in Azure,Techies: Azure AI Engineering ,Tech Experts,ITG,,Microsoft,Azure AI Fundamentals,Intermediate,Instructor-led (ILT/VILT/Web),Spanish,Certification prep	,All,Professionals & Business Users
AI-3004: Develop computer vision solutions in Azure,Techies: Azure AI Engineering ,Tech Experts,ITG,,Microsoft,Azure Vision,Intermediate,Instructor-led (ILT/VILT/Web),Spanish,Short Course,All,Professionals & Business Users
AI-900: Microsoft Azure AI Fundamentals,Techies: Azure AI Engineering ,Tech Experts,ITG,,Microsoft,Azure AI Fundamentals,Beginner,Instructor-led (ILT/VILT/Web),Spanish,Certification prep	,All,Professionals & Business Users
AI-050: Develop Generative AI Solutions with Azure OpenAI Service,Techies: Azure AI Engineering ,Tech Experts,ITG,,Microsoft,Azure OpenAI,Intermediate,Instructor-led (ILT/VILT/Web),Spanish,Short Course,All,Professionals & Business Users
AI-3002: Create document intelligence solutions with Azure AI Document Intelligence,Techies: Azure AI Engineering ,Tech Experts,ITG,,Microsoft,Azure Document Intelligence,Intermediate,Instructor-led (ILT/VILT/Web),Spanish,Short Course,All,Professionals & Business Users
AI-EDU: AI+ Educator,Educators: Responsible AI Foundations for Educators,Education,ITG,,AI Certs,AI in Education,Beginner,Live virtual,Spanish,Short Course,Education,All
